Recipient.Name,Std.Recipient.Name
"BINKLEY, JR., JOE P.","BINKLEY, JR., JOE P."
"BINKLEY, MICHAEL W.","BINKLEY, MICHAEL W."
"BIRDSONG, DAVID R.","BIRDSONG, DAVID R."
"BISHOP, JIM","BISHOP, JIM"
"BIVINS, JEFFREY S.","BIVINS, JEFFREY S."
"BLACK, DIANE","BLACK, DIANE"
"BLACK (2012), DIANE","BLACK, DIANE"
"BLACKBURN, CHERYL","BLACKBURN, CHERYL"
"BLACKWELL, SR., STEPHEN","BLACKWELL, SR., STEPHEN"
"BLAKLEY, MARK","BLAKLEY, MARK"
"BLALOCK, DAVETTE","BLALOCK, DAVETTE"
"BLANTON, BARBARA","BLANTON, BARBARA"
"BLEDSOE, SAM","BLEDSOE, SAM"
"BLETNER, JAMES","BLETNER, JAMES"
"BLEVINS, MISSY THOMAS","BLEVINS, MISSY THOMAS"
"BLOUNT, STEVEN M.","BLOUNT, STEVEN M."
"BOHLING, LAURA","BOHLING, LAURA"
"BONDURANT, BRYAN","BONDURANT, BRYAN"
"BONE, STRATTON","BONE, STRATTON"
"BONNYMAN, CLAUDIA C.","BONNYMAN, CLAUDIA C."
"BORCHERT, BILLY","BORCHERT, BILLY"
"BORCHERT, WILLIE (BUTCH)","BORCHERT, WILLIE (BUTCH)"
"BORCK, GORDON","BORCK, GORDON"
"BORGES, JUAN","BORGES, JUAN"
"BOTTOMS, JEFF","BOTTOMS, JEFF"
"BOUNDS, PATTI","BOUNDS, PATTI"
"BOWERS, KATHRYN","BOWERS, KATHRYN"
"BOWERS (SENATE), KATHRYN","BOWERS, KATHRYN"
"BOWLES, LEE","BOWLES, LEE"
"BOWLING, JANICE","BOWLING, JANICE"
"BOYD, CLARK","BOYD, CLARK"
"BOYD, RANDY","BOYD, RANDY"
"BRABSON, VANDERBILT","BRABSON, VANDERBILT"
"BRADLEY, TOMMY","BRADLEY, TOMMY"
"BRADY, DAVID","BRADY, DAVID"
"BRADY, STERLINA INEZ","BRADY, STERLINA INEZ"
"BRAGG, DAVID","BRAGG, DAVID"
"BRAY, WESLEY THOMAS","BRAY, WESLEY THOMAS"
"BREDESEN, PHIL","BREDESEN, PHIL"
"BREEDING, SHELLEY S.","BREEDING, SHELLEY S."
"BREWER, BRIAN K.","BREWER, BRIAN K."
"BREWER, MARIA","BREWER, MARIA"
"BREWER, RICK","BREWER, RICK"
"BREWER, TROY","BREWER, TROY"
"BREWER, WILLIAM BROCK","BREWER, WILLIAM BROCK"
"BRICCO, RORY","BRICCO, RORY"
"BRICKEN, RUSH","BRICKEN, RUSH"
"BRIGGS, RICHARD","BRIGGS, RICHARD"
"BRILEY, ROB","BRILEY, ROB"
"BRITTENHAM, LINDA KING","BRITTENHAM, LINDA KING"
"BROCK, OSCAR","BROCK, OSCAR"
"BROLLIER, CARL D.","BROLLIER, CARL D."
"BROOKS, AMBERLEE","BROOKS, AMBERLEE"
"BROOKS, DENNIS","BROOKS, DENNIS"
"BROOKS, ERNEST T.","BROOKS, ERNEST T."
"BROOKS, HARRY","BROOKS, HARRY"
"BROOKS, HENRI","BROOKS, HENRI"
"BROOKS, KENYA","BROOKS, KENYA"
"BROOKS, KEVIN","BROOKS, KEVIN"
"BROWN, CHRIS","BROWN, CHRIS"
"BROWN, JOHN","BROWN, JOHN"
"BROWN, JOHN A","BROWN, JOHN A"
"BROWN, JOSEPH B.","BROWN, JOSEPH B."
"BROWN, SAM","BROWN, SAM"
"BROWN, TOMMIE","BROWN, TOMMIE"
"BROWN, WILLIAM J.","BROWN, WILLIAM J."
"BRUNELLE, ANDY","BRUNELLE, ANDY"
"BRYAN, VANESSA  PETTIGREW","BRYAN, VANESSA  PETTIGREW"
"BRYANT, DAN","BRYANT, DAN"
"BRYSON, JAMES","BRYSON, JAMES"
"BRYSON, JIM","BRYSON, JAMES"
"BUCK, FRANK FORREST","BUCK, FRANK FORREST"
"BULLOCK NEAL, MERRIEL","BULLOCK NEAL, MERRIEL"
"BULSO, JR., EUGENE N.","BULSO, JR., EUGENE N."
"BUNCH, DEWAYNE","BUNCH, DEWAYNE"
"BUNCH (HOUSE), DEWAYNE","BUNCH, DEWAYNE"
"BURCHETT, BETTY M.","BURCHETT, BETTY M."
"BURCHETT, TIM","BURCHETT, TIM"
"BURGESS, ERNEST","BURGESS, ERNEST"
"BURGESS, J. LEE","BURGESS, J. LEE"
"BURK, BO","BURK, BO"
"BURK, MARSHALL WYATT","BURK, MARSHALL WYATT"
"BURKE, REBECCA ANN","BURKE, REBECCA ANN"
"BURKHART, JEFF","BURKHART, JEFF"
"BURKS, CHARLOTTE","BURKS, CHARLOTTE"
"BURNETT, MATTHEW","BURNETT, MATTHEW"
"BURNS, ARTHUR RAY","BURNS, ARTHUR RAY"
"BURROW, LATONYA SUE","BURROW, LATONYA SUE"
"BUSH, JAY","BUSH, JAY"
"BUTLER, ED","BUTLER, ED"
"BUTT, SHEILA","BUTT, SHEILA"
"BYNUM, DENNIS","BYNUM, DENNIS"
"BYRD, CLARA","BYRD, CLARA"
"BYRD, DAVID","BYRD, DAVID"
"BYRD, JULIE A.","BYRD, JULIE A."
"BYRGE, ROGER","BYRGE, ROGER"
"CAGLE, WILLIAM MARK","CAGLE, WILLIAM MARK"
"CAIN, GREG","CAIN, GREG"
"CAIN, VICKI C.","CAIN, VICKI C."
"CALDWELL, JOE","CALDWELL, JOE"
"CALFEE, KENT","CALFEE, KENT"
"CALLAWAY, CHRISTINA","CALLAWAY, CHRISTINA"
"CALLIS, ANGELA","CALLIS, ANGELA"
"CAMBRON, DAVID","CAMBRON, DAVID"
"CAMMACK, WARD","CAMMACK, WARD"
"CAMP, RANDY","CAMP, RANDY"
"CAMPBELL, COLIN","CAMPBELL, COLIN"
"CAMPBELL, HEIDI","CAMPBELL, HEIDI"
"CAMPBELL, JAMES G.","CAMPBELL, JAMES G."
"CAMPBELL, JOHN W.","CAMPBELL, JOHN W."
"CAMPBELL, SCOTTY","CAMPBELL, SCOTTY"
"CAMPBELL, SETH JAMES","CAMPBELL, SETH JAMES"
"CAMPBELL, TONY","CAMPBELL, TONY"
"CAMPBELL, WILLIAM S. (BILL)","CAMPBELL, WILLIAM S. (BILL)"
"CAMPER, KAREN","CAMPER, KAREN"
"CAMPFIELD, STACEY","CAMPFIELD, STACEY"
"CANADA, DIANE MICHEL","CANADA, DIANE MICHEL"
"CANE, CHRISTINE","CANE, CHRISTINE"
"CANNON, JESSE","CANNON, JESSE"
"CANTRELL, NICHOLE (NICKI)","CANTRELL, NICHOLE (NICKI)"
"CANTRELL, STEVEN","CANTRELL, STEVEN"
"CARBAUGH, GARY","CARBAUGH, GARY"
"CARFI, MARY ALICE","CARFI, MARY ALICE"
"CARL, RICHARD","CARL, RICHARD"
"CARNEAL, BILLY PAUL","CARNEAL, BILLY PAUL"
"CARNEAL, PATRICK","CARNEAL, PATRICK"
"CARNEY, JR., JOHN","CARNEY, JR., JOHN"
"CARPENTER, JAMES","CARPENTER, JAMES"
"CARR, BRUCE DALE","CARR, BRUCE DALE"
"CARR, JOE","CARR, JOE"
"CARRIGER, PHILLIP R.","CARRIGER, PHILLIP R."
"CARRINGER, MICHELE","CARRINGER, MICHELE"
"CARROLL, AUSTIN","CARROLL, AUSTIN"
"CARROLL, MICHAEL","CARROLL, MICHAEL"
"CARSON, KAREN","CARSON, KAREN"
"CARTER, BOBBY","CARTER, BOBBY"
"CARTER, MIKE","CARTER, MIKE"
"CARTER, ROBERT JAMES","CARTER, ROBERT JAMES"
"CASADA, GLEN","CASADA, GLEN"
"CASH, TOM","CASH, TOM"
"CASKEY, GRADY E.","CASKEY, GRADY E."
"CASSADY, CALVIN","CASSADY, CALVIN"
"CASTLE, GUTHRIE","CASTLE, GUTHRIE"
"CASTLEMAN, BENNIE W.","CASTLEMAN, BENNIE W."
"CEPICKY, SCOTT","CEPICKY, SCOTT"
"CHANCE, ERIC","CHANCE, ERIC"
"CHARLES, JUANITA","CHARLES, JUANITA"
"CHESSER, JAMES","CHESSER, JAMES"
"CHILDERS, ROBERT L.","CHILDERS, ROBERT L."
"CHILDERS, STEPHEN","CHILDERS, STEPHEN"
"CHILDRESS, CHERI","CHILDRESS, CHERI"
"CHISM, GEORGE","CHISM, GEORGE"
"CHISM, JESSE","CHISM, JESSE"
"CHRISTIAN, STEPHEN","CHRISTIAN, STEPHEN"
"CHUMNEY, CAROL","CHUMNEY, CAROL"
"CLABOUGH, BILL","CLABOUGH, BILL"
"CLARK, ANTHONY","CLARK, ANTHONY"
"CLARK, CORNELIA","CLARK, CORNELIA"
"CLARK, DAVE","CLARK, DAVE"
"CLARK, DAVID","CLARK, DAVID"
"CLARK, DENNIS","CLARK, DENNIS"
"CLARK, DOUG","CLARK, DOUG"
"CLARK, DOYLE","CLARK, DOYLE"
"CLARK, JAY","CLARK, JAY"
"CLARK, JR., RICHARD","CLARK, JR., RICHARD"
"CLAYBAKER, BEN","CLAYBAKER, BEN"
"CLAYTON, TERRY","CLAYTON, TERRY"
"CLEM, CHRIS","CLEM, CHRIS"
"CLEMENT, FRANK","CLEMENT, FRANK"
"CLEMMONS, JOHN RAY","CLEMMONS, JOHN RAY"
"CLEMONS, CHASE","CLEMONS, CHASE"
"CLEMONS, PHILLIP TERRY","CLEMONS, PHILLIP TERRY"
"CLOTFELTER, KEITH","CLOTFELTER, KEITH"
"COBB, CURT","COBB, CURT"
"COBB, JAMES","COBB, JAMES"
"COBB, TY","COBB, TY"
"COBB, II, TY","COBB, TY"
"COCHRAN, JEROME","COCHRAN, JEROME"
"COCHRAN, MARK","COCHRAN, MARK"
"COFFEE, LEE V.","COFFEE, LEE V."
"COFFMAN, RUSTY","COFFMAN, RUSTY"
"COGGIN, ADAM","COGGIN, ADAM"
"COHEN, STEVE","COHEN, STEVE"
"COKER, JEFF","COKER, JEFF"
"COKER, TIM","COKER, TIM"
"COLBURN, DEBBIE","COLBURN, DEBBIE"
"COLE, JUSTIN (ANDY)","COLE, JUSTIN (ANDY)"
"COLEMAN, ERIC R.","COLEMAN, ERIC R."
"COLEMAN, ERIN","COLEMAN, ERIN"
"COLEMAN, KENT","COLEMAN, KENT"
"COLEMAN, SAMUEL E.","COLEMAN, SAMUEL E."
"COLEY, JAMES","COLEY, JAMES"
"COLLINS, HERMAN","COLLINS, HERMAN"
"COLLINS, MICHAEL WAYNE","COLLINS, MICHAEL WAYNE"
"COLLINS, PAT","COLLINS, PAT"
"CONGDON, FRED E.","CONGDON, FRED E."
"CONLEY, STEVE","CONLEY, STEVE"
"CONLEY, TERRELL","CONLEY, TERRELL"
"COOK, TIM","COOK, TIM"
"COOMER, LEWIS","COOMER, LEWIS"
"COOPER, BARBARA","COOPER, BARBARA"
"COOPER (SENATE), BARBARA","COOPER, BARBARA"
"COOPER, BRENT","COOPER, BRENT"
"COOPER, JERRY","COOPER, JERRY"
"COOPER, THOMAS","COOPER, THOMAS"
"CORBIN-JOHNSON, FELICIA","CORBIN-JOHNSON, FELICIA"
"CORCORAN, JAMES","CORCORAN, JAMES"
"CORIA (2006), ANN","CORIA, ANN"
"COTTER, HOWARD","COTTER, HOWARD"
"COTTON, BARRY","COTTON, BARRY"
"COUCH, VIRGINIA","COUCH, VIRGINIA"
"COURY, JOE","COURY, JOE"
"COWAN, JUDD","COWAN, JUDD"
"COX, BETH","COX, BETH"
"COX, III, WILLIAM","COX, III, WILLIAM"
"CRAIG, PHILIP","CRAIG, PHILIP"
"CRAIGHEAD, TONY","CRAIGHEAD, TONY"
"CRANGLE, TOMMY F.","CRANGLE, TOMMY F."
"CRAWFORD, JOHN","CRAWFORD, JOHN"
"CREASY, ALLAN","CREASY, ALLAN"
"CRIDER, CHRIS","CRIDER, CHRIS"
"CRIM, LARRY","CRIM, LARRY"
"CRIPPS, JAVIN RAY","CRIPPS, JAVIN RAY"
"CRISP, JANE R.","CRISP, JANE R."
"CRONE, JOSEPH","CRONE, JOSEPH"
"CROUCH, JR., RAY","CROUCH, JR., RAY"
"CROWE, RUSTY","CROWE, RUSTY"
"CROWELL, SHAUN","CROWELL, SHAUN"
"CROZIER, TED","CROZIER, TED"
"CRUMLEY, JOE","CRUMLEY, JOE"
"CRUMP, STEPHEN DAVIS","CRUMP, STEPHEN DAVIS"
"CRUTCHFIELD, WARD","CRUTCHFIELD, WARD"
"CUCITI, KIM","CUCITI, KIM"
"CUELLAR, DIANA","CUELLAR, DIANA"
"CUEVAS, VINCENT","CUEVAS, VINCENT"
"CUNNINGHAM, ROBERT","CUNNINGHAM, ROBERT"
"CURCIO, MICHAEL G.","CURCIO, MICHAEL G."
"CURRIE, COREY","CURRIE, COREY"
"CURRY, SHIRLEY B.","CURRY, SHIRLEY B."
"CURTIS, RICKY A. W.","CURTIS, RICKY A. W."
"CURTISS, CHARLES","CURTISS, CHARLES"
"CUTTING, DAVID L.","CUTTING, DAVID L."
"DAHL, DAVE","DAHL, DAVE"
"DALTON, ANGIE BLACKSHEAR","DALTON, ANGIE BLACKSHEAR"
"DALTON, ROBERT","DALTON, ROBERT"
"DANDRIDGE, DAMITA","DANDRIDGE, DAMITA"
"DANIEL (2004), JACK","DANIEL, JACK"
"DANIEL, JACK","DANIEL, JACK"
"DANIEL, MARTIN","DANIEL, MARTIN"
"DANIELS, LARRY","DANIELS, LARRY"
"DARBY, TANDY","DARBY, TANDY"
"DARDEN, STEPHEN","DARDEN, STEPHEN"
"DAVIDSON, DAVID","DAVIDSON, DAVID"
"DAVIDSON, EUGENE","DAVIDSON, EUGENE"
"DAVIDSON, MARK","DAVIDSON, MARK"
"DAVIS, DAVID","DAVIS, DAVID"
"DAVIS, ELAINE","DAVIS, ELAINE"
"DAVIS, JUSTIN","DAVIS, JUSTIN"
"DAVIS, KRISTI","DAVIS, KRISTI"
"DAVIS, LAURA","DAVIS, LAURA"
"DAVIS, MARTY","DAVIS, MARTY"
"DAVIS, NEVADA SCOTT","DAVIS, NEVADA SCOTT"
"DAVIS, RONALD","DAVIS, RONALD"
"DAWSON, JOHN","DAWSON, JOHN"
"DAWSON, RICHARD","DAWSON, RICHARD"
"DAY, LAURI","DAY, LAURI"
"DEAN, BEN","DEAN, BEN"
"DEAN, KARL","DEAN, KARL"
"DEAN, VINCE","DEAN, VINCE"
"DEANER, DAWN","DEANER, DAWN"
"DEATON, BILL","DEATON, BILL"
"DEBERRY (SENATE), JOHN","DEBERRY, JOHN"
"DEBERRY, JR., JOHN","DEBERRY, JOHN"
"DEBERRY, LOIS","DEBERRY, LOIS"
"DECK, ROBYN","DECK, ROBYN"
"DEES, LINDA JO","DEES, LINDA JO"
"DEFREESE, VICTORIA","DEFREESE, VICTORIA"
"DEGAN, WOODY","DEGAN, WOODY"
"DELUCIA, TONY","DELUCIA, TONY"
"DEMETREON, ALICE","DEMETREON, ALICE"
"DENNIS, VANCE","DENNIS, VANCE"
"DERRYBERRY, GUY","DERRYBERRY, GUY"
"DERRYBERRY, TONY","DERRYBERRY, TONY"
"DESMOND, RYAN","DESMOND, RYAN"
"DICKERSON, DAN","DICKERSON, DAN"
"DICKERSON, LUKE E.","DICKERSON, LUKE E."
"DICKERSON, STEVEN","DICKERSON, STEVEN"
"DICKEY, H. DEAN","DICKEY, H. DEAN"
"DICKEY, TIMOTHY","DICKEY, TIMOTHY"
"DIXIE, VINCENT","DIXIE, VINCENT"
"DIXON, RICKEY","DIXON, RICKEY"
"DIXON, ROSCOE","DIXON, ROSCOE"
"DOBSON, LEE ANN PAFFORD","DOBSON, LEE ANN PAFFORD"
"DOCKERY, MICHAEL","DOCKERY, MICHAEL"
"DOCKERY, RUEBEN","DOCKERY, RUEBEN"
"DODDS, BRANDON","DODDS, BRANDON"
"DOGGETT, CLAY","DOGGETT, CLAY"
"DOLL, BOB","DOLL, BOB"
"DOMINY, DUANE","DOMINY, DUANE"
"DONAGHY, SANDRA N. C.","DONAGHY, SANDRA N. C."
"DOSS, BARRY","DOSS, BARRY"
"DOSTER, DENNIS","DOSTER, DENNIS"
"DOTSON, BRUCE","DOTSON, BRUCE"
"DOWDY, JOHN","DOWDY, JOHN"
"DOZIER, STEVE R.","DOZIER, STEVE R."
"DREW, CHARLES E. (PETE)","DREW, CHARLES E. (PETE)"
"DRINNEN, GARY","DRINNEN, GARY"
"DROLSUM, LARRY","DROLSUM, LARRY"
"DUBOIS, J. THOMAS","DUBOIS, J. THOMAS"
"DUCK, SAMUEL DAVID","DUCK, SAMUEL DAVID"
"DUNAVANT, MIKE","DUNAVANT, MIKE"
"DUNAWAY, BRYANT C.","DUNAWAY, BRYANT C."
"DUNHAM, ROBERT F.","DUNHAM, ROBERT F."
"DUNLAP, W. KEVIN","DUNLAP, W. KEVIN"
"DUNN, ALEX","DUNN, ALEX"
"DUNN, BILL","DUNN, BILL"
"DUNN, JAMES","DUNN, JAMES"
"DUNN, LLOYD G.","DUNN, LLOYD G."
"DURARD, JR., FOREST A.","DURARD, JR., FOREST A."
"DURHAM, JEREMY","DURHAM, JEREMY"
"DUVALL, ROBERT","DUVALL, ROBERT"
"DYER, KATE","DYER, KATE"
"DYER, RAYMOND","DYER, RAYMOND"
"DYKES, III, ROLAND A.","DYKES, III, ROLAND A."
"EATON, FRANK","EATON, FRANK"
"EDDLEMAN, ADRIAN","EDDLEMAN, ADRIAN"
"EDDLEMAN, LEE","EDDLEMAN, LEE"
"EDWARDS, LEWIS JOHNNY","EDWARDS, LEWIS JOHNNY"
"EDWARDS, SHARON KAY","EDWARDS, SHARON KAY"
"EFFLER, JARED","EFFLER, JARED"
"EGGERS, SR., CARL R.","EGGERS, SR., CARL R."
"ELAM, LINDA","ELAM, LINDA"
"ELDER, CLAUDE SAM","ELDER, CLAUDE SAM"
"ELDRIDGE, JIMMY","ELDRIDGE, JIMMY"
"ELDRIDGE, RICK","ELDRIDGE, RICK"
"ELKINS, LARRY","ELKINS, LARRY"
"ELLIS, GEORGE","ELLIS, GEORGE"
"EMERT, JASON","EMERT, JASON"
"ENFIELD, J. R.","ENFIELD, J. R."
"ENGLEN, DOUG","ENGLEN, DOUG"
"ESKRIDGE, JULIETTE","ESKRIDGE, JULIETTE"
"EVANS, DUSTIN","EVANS, DUSTIN"
"EVANS, JOSHUA","EVANS, JOSHUA"
"EVANS, WALTER L.","EVANS, WALTER L."
"EWELL, BROCK","EWELL, BROCK"
"FAIRBANKS, RANDY","FAIRBANKS, RANDY"
"FAISON, JEREMY","FAISON, JEREMY"
"FANKHAUSER, DAVID G. E.","FANKHAUSER, DAVID G. E."
"FANNON, BOB","FANNON, BOB"
"FANSLER, DARYL R.","FANSLER, DARYL R."
"FARLESS, ISRAEL","FARLESS, ISRAEL"
"FARLEY, AUSTIN","FARLEY, AUSTIN"
"FARLEY, MICHAEL","FARLEY, MICHAEL"
"FARMER, ANDREW ELLIS","FARMER, ANDREW ELLIS"
"FARMER, DAVID","FARMER, DAVID"
"FARMER, GARY","FARMER, GARY"
"FARMER, TRISHA","FARMER, TRISHA"
"FARNOR, NATHAN","FARNOR, NATHAN"
"FARRELL, JOAN","FARRELL, JOAN"
"FARRIS, DWIGHT 'DJ'","FARRIS, DWIGHT (DJ)"
"FAULK, MIKE","FAULK, MIKE A."
"FAULK, MIKE A.","FAULK, MIKE A."
"FAULKNER, IVON","FAULKNER, IVON"
"FAULKNER, JOHNNY CHAD","FAULKNER, JOHNNY CHAD"
"FAULKNER, OMARI","FAULKNER, OMARI"
"FAULKNER, SUSAN","FAULKNER, SUSAN"
"FAVORS, JOANNE","FAVORS, JOANNE"
"FERGUSON, DAVID","FERGUSON, DAVID"
"FERGUSON, DENNIS","FERGUSON, DENNIS"
"FERRY, MATT H.","FERRY, MATT H."
"FICKLING, CRAIG P.","FICKLING, CRAIG P."
"FIELD, AVERY","FIELD, AVERY"
"FIELDS, ROBERT COLEMAN","FIELDS, ROBERT COLEMAN"
"FINCHER, HENRY","FINCHER, HENRY"
"FINNEY, LOWE","FINNEY, LOWE"
"FINNEY, RAYMOND","FINNEY, RAYMOND"
"FINNEY, RAYMOND (2008)","FINNEY, RAYMOND"
"FISCHMAN, NANCY","FISCHMAN, NANCY"
"FISCUS, BRADLEY","FISCUS, BRADLEY"
"FISHER, KEVIN","FISHER, KEVIN"
"FITZGERALD, II, VINCYL","FITZGERALD, II, VINCYL"
"FITZHUGH, CRAIG","FITZHUGH, CRAIG"
"FLANARY, KEVIN","FLANARY, KEVIN"
"FLETCHER, LARRY","FLETCHER, LARRY"
"FLINN, GEORGE S.","FLINN, GEORGE S."
"FLOIED, FRANKIE G.","FLOIED, FRANKIE G."
"FLOOD, MARY LYNN","FLOOD, MARY LYNN"
"FLOYD, MICHAEL G.","FLOYD, MICHAEL G."
"FLOYD, RICHARD","FLOYD, RICHARD"
"FLYNN, ETHAN","FLYNN, ETHAN"
"FODNESS, GREGORY","FODNESS, GREGORY"
"FOLEY, JENNIFER","FOLEY, JENNIFER"
"FORBES, JOSHUA","FORBES, JOSHUA"
"FORD, DALE","FORD, DALE"
"FORD, DAN","FORD, DAN"
"FORD(2006), JEFF","FORD, JEFF"
"FORD, JEFF","FORD, JEFF"
"FORD, JUSTIN","FORD, JUSTIN"
"FORD, KEMBA","FORD, KEMBA"
"FORD, OPHELIA","FORD, OPHELIA"
"FORGETY, JOHN W.","FORGETY, JOHN W."
"FORTNER, SCOTT","FORTNER, SCOTT"
"FOTOPULOS, STEPHEN","FOTOPULOS, STEPHEN"
"FOWLER, DAVID","FOWLER, DAVID"
"FOWLKES, JOE","FOWLKES, JOE"
"FRALEY, GEORGE","FRALEY, GEORGE"
"FRANKLIN, TODD MITCHELL","FRANKLIN, TODD MITCHELL"
"FREEMAN, BOB","FREEMAN, BOB"
"FREIBERG, ANDREW MARK","FREIBERG, ANDREW MARK"
"FRENCH, RYAN","FRENCH, RYAN"
"FROST, DOMINIQUE","FROST, DOMINIQUE"
"FRY, SHAWN C.","FRY, SHAWN C."
"FULBRIGHT, MICHAEL","FULBRIGHT, MICHAEL"
"FULLER, BRIAN","FULLER, BRIAN"
"FULLINGTON, JESSE","FULLINGTON, JESSE"
"FULLINGTON, NINA","FULLINGTON, NINA"
"FUNK, GLENN","FUNK, GLENN"
"FUTRELL, ADAM","FUTRELL, ADAM"
"GALLAGHER, KEVIN (HOUSE)","GALLAGHER, KEVIN"
